Date,US10Y_Yield,CPI,DXY_Close
2025-01-15,4.66,318.961,109.08999633789062
2025-01-16,4.61,318.961,108.95999908447266
2025-01-17,4.61,318.961,109.3499984741211
2025-01-21,4.57,318.961,108.05999755859376
2025-01-22,4.6,318.961,108.16999816894533
2025-01-23,4.65,318.961,108.0500030517578
2025-01-24,4.63,318.961,107.44000244140624
2025-01-27,4.53,318.961,107.33999633789062
2025-01-28,4.55,318.961,107.87000274658205
2025-01-29,4.55,318.961,108.0
2025-01-30,4.52,318.961,107.8000030517578
2025-01-31,4.58,318.961,108.37000274658205
2025-02-03,4.54,319.679,108.98999786376952
2025-02-04,4.52,319.679,107.95999908447266
2025-02-05,4.43,319.679,107.58000183105467
2025-02-06,4.45,319.679,107.69000244140624
2025-02-07,4.49,319.679,108.04000091552734
2025-02-10,4.51,319.679,108.31999969482422
2025-02-11,4.54,319.679,107.95999908447266
2025-02-12,4.62,319.679,107.94000244140624
2025-02-13,4.52,319.679,107.30999755859376
2025-02-14,4.47,319.679,106.56999969482422
2025-02-18,4.55,319.679,107.0500030517578
2025-02-19,4.53,319.679,107.16999816894533
2025-02-20,4.5,319.679,106.33999633789062
2025-02-21,4.42,319.679,106.61000061035156
2025-02-24,4.4,319.679,106.5999984741211
2025-02-25,4.3,319.679,106.30999755859376
2025-02-26,4.25,319.679,106.41999816894533
2025-02-27,4.29,319.679,107.23999786376952
2025-02-28,4.24,319.679,107.61000061035156
2025-03-03,4.16,319.785,106.75
2025-03-04,4.22,319.785,105.73999786376952
2025-03-05,4.28,319.785,105.73999786376952
2025-03-06,4.29,319.785,104.05999755859376
2025-03-07,4.32,319.785,103.83999633789062
2025-03-10,4.22,319.785,103.91000366210938
2025-03-11,4.28,319.785,103.44000244140624
2025-03-12,4.32,319.785,103.61000061035156
2025-03-13,4.27,319.785,103.83000183105467
2025-03-14,4.31,319.785,103.72000122070312
2025-03-17,4.31,319.785,103.37000274658205
2025-03-18,4.29,319.785,103.23999786376952
2025-03-19,4.25,319.785,103.43000030517578
2025-03-20,4.24,319.785,103.8499984741211
2025-03-21,4.25,319.785,104.08999633789062
2025-03-24,4.34,319.785,104.26000213623048
2025-03-25,4.31,319.785,104.18000030517578
2025-03-26,4.35,319.785,104.5500030517578
2025-03-27,4.38,319.785,104.06999969482422
2025-03-28,4.27,319.785,104.04000091552734
2025-03-31,4.23,319.785,104.20999908447266
2025-04-01,4.17,320.302,104.26000213623048
2025-04-02,4.2,320.302,103.80999755859376
2025-04-03,4.06,320.302,102.06999969482422
2025-04-04,4.01,320.302,103.0199966430664
2025-04-07,4.15,320.302,103.26000213623048
2025-04-08,4.26,320.302,102.95999908447266
2025-04-09,4.34,320.302,102.9000015258789
2025-04-10,4.4,320.302,100.87000274658205
2025-04-11,4.48,320.302,99.77999877929688
2025-04-14,4.38,320.302,99.63999938964844
2025-04-15,4.35,320.302,100.22000122070312
2025-04-16,4.29,320.302,99.37999725341795
2025-04-17,4.34,320.302,99.37999725341795
2025-04-22,4.41,320.302,98.91999816894533
2025-04-23,4.4,320.302,99.83999633789062
2025-04-24,4.32,320.302,99.29000091552734
2025-04-25,4.29,320.302,99.47000122070312
2025-04-28,4.23,320.302,99.01000213623048
2025-04-29,4.19,320.302,99.23999786376952
2025-04-30,4.17,320.302,99.47000122070312
2025-05-01,4.25,320.62,100.25
2025-05-02,4.33,320.62,100.0
2025-05-05,4.36,320.62,99.83000183105467
2025-05-06,4.3,320.62,99.23999786376952
2025-05-07,4.26,320.62,99.61000061035156
2025-05-08,4.37,320.62,100.63999938964844
2025-05-09,4.37,320.62,100.33999633789062
2025-05-12,4.45,320.62,101.79000091552734
2025-05-13,4.49,320.62,101.0
2025-05-14,4.53,320.62,101.04000091552734
2025-05-15,4.45,320.62,100.87999725341795
2025-05-16,4.43,320.62,101.08999633789062
2025-05-19,4.46,320.62,100.43000030517578
2025-05-20,4.48,320.62,100.12000274658205
2025-05-21,4.58,320.62,99.55999755859376
2025-05-22,4.54,320.62,99.95999908447266
2025-05-23,4.51,320.62,99.11000061035156
2025-05-27,4.43,320.62,99.5199966430664
2025-05-28,4.47,320.62,99.87999725341795
2025-05-29,4.43,320.62,99.27999877929688
2025-05-30,4.41,320.62,99.33000183105467
2025-06-02,4.46,321.435,98.6999969482422
2025-06-03,4.46,321.435,99.25
2025-06-04,4.37,321.435,98.79000091552734
2025-06-05,4.4,321.435,98.73999786376952
2025-06-06,4.51,321.435,99.19000244140624
2025-06-09,4.49,321.435,98.94000244140624
2025-06-10,4.47,321.435,99.0500030517578
2025-06-11,4.41,321.435,98.62999725341795
2025-06-12,4.36,321.435,97.91999816894533
2025-06-13,4.41,321.435,98.18000030517578
2025-06-16,4.46,321.435,98.0
2025-06-17,4.39,321.435,98.81999969482422
2025-06-18,4.38,321.435,98.91000366210938
2025-06-20,4.38,321.435,98.70999908447266
2025-06-23,4.34,321.435,98.41999816894533
2025-06-24,4.3,321.435,97.86000061035156
2025-06-25,4.29,321.435,97.68000030517578
2025-06-26,4.26,321.435,97.1500015258789
2025-06-27,4.29,321.435,97.4000015258789
2025-06-30,4.24,321.435,96.87999725341795
2025-07-01,4.26,322.169,96.81999969482422
2025-07-02,4.3,322.169,96.77999877929688
2025-07-03,4.35,322.169,97.18000030517578
2025-07-04,4.35,322.169,97.18000030517578
2025-07-07,4.4,322.169,97.4800033569336
2025-07-08,4.42,322.169,97.51000213623048
2025-07-09,4.34,322.169,97.47000122070312
2025-07-10,4.35,322.169,97.6500015258789
2025-07-11,4.43,322.169,97.8499984741211
2025-07-14,4.43,322.169,98.08000183105467
2025-07-15,4.5,322.169,98.62000274658205
2025-07-16,4.46,322.169,98.38999938964844
2025-07-17,4.47,322.169,98.7300033569336
2025-07-18,4.44,322.169,98.4800033569336
2025-07-21,4.38,322.169,97.8499984741211
2025-07-22,4.35,322.169,97.38999938964844
2025-07-23,4.4,322.169,97.20999908447266
2025-07-24,4.43,322.169,97.37999725341795
2025-07-25,4.4,322.169,97.6500015258789
2025-07-28,4.42,322.169,98.66000366210938
2025-07-29,4.34,322.169,98.91000366210938
2025-07-30,4.38,322.169,99.94000244140624
2025-07-31,4.37,322.169,100.02999877929688
2025-08-01,4.23,323.291,98.69000244140624
2025-08-04,4.22,323.291,98.77999877929688
2025-08-05,4.22,323.291,98.77999877929688
2025-08-06,4.22,323.291,98.18000030517578
2025-08-07,4.23,323.291,98.4000015258789
2025-08-08,4.27,323.291,98.18000030517578
2025-08-11,4.27,323.291,98.5199966430664
2025-08-12,4.29,323.291,98.0999984741211
2025-08-13,4.24,323.291,97.83999633789062
2025-08-14,4.29,323.291,98.25
2025-08-15,4.33,323.291,97.8499984741211
2025-08-18,4.34,323.291,98.16999816894533
2025-08-19,4.3,323.291,98.2699966430664
