Date,Asset,30D_Return,90D_Return
2026-07-06,Oil,-0.26246773354093855,-0.17771114133003618
2026-07-06,Oil,-0.24210291525616823,-0.2135243238214094
2026-07-06,Oil,,
2026-07-06,Oil,,
2026-07-06,Oil,,
2026-07-06,Oil,,
2024-07-08,Bitcoin,,
2024-07-09,Bitcoin,,
2024-07-10,Bitcoin,,
2024-07-11,Bitcoin,,
2024-07-12,Bitcoin,,
2024-07-15,Bitcoin,,
2024-07-16,Bitcoin,,
2024-07-17,Bitcoin,,
2024-07-18,Bitcoin,,
2024-07-19,Bitcoin,,
2024-07-22,Bitcoin,,
2024-07-23,Bitcoin,,
2024-07-24,Bitcoin,,
2024-07-25,Bitcoin,,
2024-07-26,Bitcoin,,
2024-07-29,Bitcoin,,
2024-07-30,Bitcoin,,
2024-07-31,Bitcoin,,
2024-08-01,Bitcoin,,
2024-08-02,Bitcoin,,
2024-08-05,Bitcoin,,
2024-08-06,Bitcoin,,
2024-08-07,Bitcoin,,
2024-08-08,Bitcoin,,
2024-08-09,Bitcoin,,
2024-08-12,Bitcoin,,
2024-08-13,Bitcoin,,
2024-08-14,Bitcoin,,
2024-08-15,Bitcoin,,
2024-08-16,Bitcoin,,
2024-08-19,Bitcoin,0.04917292419904107,
2024-08-20,Bitcoin,0.01730011699378098,
2024-08-21,Bitcoin,0.059448336056112216,
2024-08-22,Bitcoin,0.05296023282361162,
2024-08-23,Bitcoin,0.10699391853996931,
2024-08-26,Bitcoin,-0.030668837911117963,
2024-08-27,Bitcoin,-0.08591798195845513,
2024-08-28,Bitcoin,-0.0794021180534592,
2024-08-29,Bitcoin,-0.07168352703466696,
2024-08-30,Bitcoin,-0.11378596774760219,
2024-09-03,Bitcoin,-0.1502432344705391,
2024-09-04,Bitcoin,-0.12067971742707617,
2024-09-05,Bitcoin,-0.1409108764688891,
2024-09-06,Bitcoin,-0.17982626015724235,
2024-09-09,Bitcoin,-0.16039164388137972,
2024-09-10,Bitcoin,-0.13725254295331357,
2024-09-11,Bitcoin,-0.13380223349103637,
2024-09-12,Bitcoin,-0.10046910605198911,
2024-09-13,Bitcoin,-0.07323106328653939,
2024-09-16,Bitcoin,-0.052471792058862765,
2024-09-17,Bitcoin,0.11700151058330777,
2024-09-18,Bitcoin,0.10021293452638025,
2024-09-19,Bitcoin,0.1438008579523149,
2024-09-20,Bitcoin,0.024029112923670715,
2024-09-23,Bitcoin,0.040237893262174085,
2024-09-24,Bitcoin,0.08335428354361207,
2024-09-25,Bitcoin,0.04180162101834051,
2024-09-26,Bitcoin,0.10970462283017302,
2024-09-27,Bitcoin,0.1429908346473472,
2024-09-30,Bitcoin,0.07531134900424763,
2024-10-01,Bitcoin,0.0225832359180278,
2024-10-02,Bitcoin,0.027451542386035976,
2024-10-03,Bitcoin,-0.006796694100045242,
2024-10-04,Bitcoin,0.027915022671446188,
2024-10-07,Bitcoin,-0.028983758381122104,
2024-10-08,Bitcoin,-0.011906544943860342,
2024-10-09,Bitcoin,0.01811586353836514,
2024-10-10,Bitcoin,0.02112358408457049,
2024-10-11,Bitcoin,0.05147337689647058,
2024-10-14,Bitcoin,0.11716356165936759,
2024-10-15,Bitcoin,0.16733266033397953,
2024-10-16,Bitcoin,0.16630884470922358,
2024-10-17,Bitcoin,0.20012909431918913,
2024-10-18,Bitcoin,0.26821815349795575,
2024-10-21,Bitcoin,0.1814872109688832,
2024-10-22,Bitcoin,0.16848070242247126,
2024-10-23,Bitcoin,0.15850227917829152,
2024-10-24,Bitcoin,0.17262272172703708,
2024-10-25,Bitcoin,0.10023085525561859,
2024-10-28,Bitcoin,0.20131887145588023,
2024-10-29,Bitcoin,0.20580755756887137,
2024-10-30,Bitcoin,0.17339683562325892,
2024-10-31,Bitcoin,0.11558115100972488,
2024-11-01,Bitcoin,0.09952834206629713,
2024-11-04,Bitcoin,0.07076774245241113,
2024-11-05,Bitcoin,0.07865379316243715,
2024-11-06,Bitcoin,0.19789850009078447,
2024-11-07,Bitcoin,0.16452396603904962,
2024-11-08,Bitcoin,0.16347019221120962,
2024-11-11,Bitcoin,0.4006345285372537,
2024-11-12,Bitcoin,0.4457616451335067,0.551109444043177
2024-11-13,Bitcoin,0.4939799289949429,0.561547523218626
2024-11-14,Bitcoin,0.43599881371240956,0.5110262906861749
2024-11-15,Bitcoin,0.46720976678984827,0.5880398340687634
2024-11-18,Bitcoin,0.45481200947617717,0.5637906303511144
2024-11-19,Bitcoin,0.48625242238923905,0.4235173762683013
2024-11-20,Bitcoin,0.5572172267773499,0.4492108249269271
2024-11-21,Bitcoin,0.6342686635724892,0.5362847926739498
2024-11-22,Bitcoin,0.5853554588553205,0.5474655532109234
2024-11-25,Bitcoin,0.40965570463066525,0.3956240265139539
2024-11-26,Bitcoin,0.3720733617036749,0.3610265599742548
2024-11-27,Bitcoin,0.41929703499757576,0.4555728804127439
2024-11-29,Bitcoin,0.4460201880591559,0.49087262789847497
2024-12-02,Bitcoin,0.4011546535839421,0.45742393982529816
2024-12-03,Bitcoin,0.4250441692271385,0.41362462762046137
2024-12-04,Bitcoin,0.4662480602533443,0.4781301747502529
2024-12-05,Bitcoin,0.4540174362463796,0.45909499122582376
2024-12-06,Bitcoin,0.4659501880598742,0.5462994531428329
2024-12-09,Bitcoin,0.4620226490988695,0.49076569253719926
2024-12-10,Bitcoin,0.3828998771036789,0.5741321363720235
2024-12-11,Bitcoin,0.3912588901232814,0.8738711050424426
2024-12-12,Bitcoin,0.3829642999738321,0.7853880696016009
2024-12-13,Bitcoin,0.44497595783675714,0.8437931913256378
2024-12-16,Bitcoin,0.5259923928652865,0.7181896587466796
2024-12-17,Bitcoin,0.5652299290554137,0.7434363348201822
2024-12-18,Bitcoin,0.44236116054653607,0.6854916261899828
2024-12-19,Bitcoin,0.28889663308545255,0.608507681304693
2024-12-20,Bitcoin,0.2878744587951487,0.6642913514304729
2024-12-23,Bitcoin,0.23699330698121557,0.6449979420286609
2024-12-24,Bitcoin,0.11245143692106341,0.6754833605947008
2024-12-26,Bitcoin,0.08913229156970148,0.6101858371496234
2024-12-27,Bitcoin,0.03952893256297463,0.5956685768942447
2024-12-30,Bitcoin,0.06180807669733013,0.5143918442735766
2024-12-31,Bitcoin,0.02595035589311978,0.5473044300697967
2025-01-02,Bitcoin,0.07006902307251983,0.5116288211563091
2025-01-03,Bitcoin,0.062415032819360006,0.5602162802317312
2025-01-06,Bitcoin,0.08202920718101314,0.7154789274747066
2025-01-07,Bitcoin,-0.016060380985842615,0.6419888675005982
2025-01-08,Bitcoin,-0.0399417568328041,0.6003777845628213
2025-01-09,Bitcoin,-0.006640628998982434,0.5643582189826666
2025-01-10,Bitcoin,0.029527894269134825,0.6489598731957127
2025-01-13,Bitcoin,-0.015068462593310294,0.6303952761302456
2025-01-14,Bitcoin,-0.009516335573132806,0.718896146193752
2025-01-15,Bitcoin,0.04839276853208507,0.8629622541820468
2025-01-16,Bitcoin,0.03911101613350665,0.7495215626826359
2025-01-17,Bitcoin,0.05764495776583689,0.812044664376846
2025-01-21,Bitcoin,0.09889576792321764,0.851070705617468
2025-01-22,Bitcoin,0.03735321076062581,0.7832169115114631
2025-01-23,Bitcoin,0.06699446765668737,0.7163272132861498
2025-01-24,Bitcoin,0.08424120496619847,0.8012539468609106
2025-01-27,Bitcoin,0.009040514440452618,0.6927567652435205
2025-01-28,Bitcoin,0.01288922325899855,0.6436821257815233
2025-01-29,Bitcoin,0.02211679026025304,0.6476399414451544
2025-01-30,Bitcoin,-0.012208030708371509,0.6573883742272091
2025-01-31,Bitcoin,-0.035194619872211064,0.6170116149776199
2025-02-03,Bitcoin,0.01363316503605505,0.5770189287555834
2025-02-04,Bitcoin,0.003906692624203512,0.5499991493781644
2025-02-05,Bitcoin,-0.011666651615363177,0.48226348724384804
2025-02-06,Bitcoin,0.020140779097808093,0.4681915474091891
2025-02-07,Bitcoin,-0.021758135439973292,0.5242357185434907
2025-02-10,Bitcoin,0.017141084859628508,0.6016164862644642
2025-02-11,Bitcoin,0.01680637897198589,0.5791362616901063
2025-02-12,Bitcoin,0.056589666792063786,0.6110405237563863
2025-02-13,Bitcoin,0.034193420853925405,0.5567552048004207
2025-02-14,Bitcoin,0.00642082583425263,0.5667448816372234
2025-02-18,Bitcoin,-0.02617419313378644,0.5376874223867243
2025-02-19,Bitcoin,-0.05331679676901757,0.5951181435214015
2025-02-20,Bitcoin,0.014560410817060498,0.6314351425561391
2025-02-21,Bitcoin,0.011384504681284602,0.5393611750023131
2025-02-24,Bitcoin,-0.011524877138850864,0.3841564796572092
2025-02-25,Bitcoin,-0.06299038772009335,0.32360834571884656
2025-02-26,Bitcoin,-0.1075949435097947,0.2475023190440777
